player_name
Daniel Alves da Silva
Arda Turan
Gnégnéri Yaya Touré
José Paulo Bezzera Maciel Júnior
Dmytro Chygrynskiy
Héctor Junior Firpo Adames
Javier Alejandro Mascherano
Clément Lenglet
Jordi Alba Ramos
David Villa Sánchez
Munir El Haddadi Mohamed
Gianluca Zambrotta
José Edmílson Gomes de Moraes
Sylvio Mendes Campos Junior
Seydou Kéita
Maximiliano Gastón López
Andrés Iniesta Luján
Bojan Krkíc Pérez
Ronald Federico Araújo da Silva
Francesc Fàbregas i Soler
Malcom Filipe Silva de Oliveira
Gabriel Francisco García de la Torre
Gerard Deulofeu Lázaro
Javier Pedro Saviola Fernández
Marc Bartra Aregall
Oleguer Presas Renom
Alexis Alejandro Sánchez Sánchez
André Filipe Tavares Gomes
Martin Braithwaite Christensen
Alexandre Dimitri Song-Billong
Manuel Agudo Durán
Gabriel Alejandro Milito
Adriano Correia Claro
Arturo Erasmo Vidal Pardo
Kevin-Prince Boateng
Jonathan dos Santos Ramírez
Juliano Haus Belletti
Ludovic Giuly
"Samuel Eto""o Fils"
Denis Suárez Fernández
Sergio Busquets i Burgos
Ronaldo de Assis Moreira
Rafael Márquez Álvarez
Gerard Piqué Bernabéu
Jérémy Mathieu
José Martín Cáceres Silva
Abel Ruiz Ortega
Philippe Coutinho Correia
José Manuel Rueda Sampedro
Henrik Larsson
Ivan Rakitić
Arthur Henrique Ramos de Oliveira Melo
Thomas Vermaelen
Lionel Andrés Messi Cuccittini
Ousmane Dembélé
Carles Puyol i Saforcada
Giovanni van Bronckhorst
Anderson Luís de Souza
Juan Isaac Cuenca López
Anssumane Fati
Sergi Roberto Carnicer
Neymar da Silva Santos Junior
Thiago Alcântara do Nascimento
Lucas Digne
Frenkie de Jong
Jeffren Isaac Suárez Bermúdez
Martín Montoya Torralbo
Ibrahim Afellay
Eiður Smári Guðjohnsen
Thiago Motta
Eric-Sylvain Bilal Abidal
Francisco Alcácer García
Carles Pérez Sayol
Carles Aleña Castillo
Maxwell Scherrer Cabelino Andrade
Luis Alberto Suárez Díaz
Aleix Vidal Parreu
Ricard Puig Martí
Aliaksandr Hleb
Pedro Eliezer Rodríguez Ledesma
Cristian Tello Herrera
Xavier Hernández Creus
Zlatan Ibrahimović
Giovani dos Santos Ramírez
Santiago Ezquerro Marín
Antoine Griezmann
Thierry Henry
Samuel Yves Umtiti
Mark van Bommel
Rafael Alcântara do Nascimento
Sandro Ramírez Castillo
Yerry Fernando Mina González
Nélson Cabral Semedo
